Id,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"54749","2019-06-29 18:42:25","1","19","<nlp>","0",""
"54750","2019-06-29 20:21:47","0","425","<machine-learning><python><scikit-learn><pandas><numpy>","2",""
"54751","2019-06-29 20:28:29","3","2550","<python><regression><random-forest><logistic-regression>","3","3"
"54754","2019-06-29 21:17:38","1","83","<python>","1",""
"54756","2019-06-29 21:54:35","0","303","<python><statistics><geospatial>","1",""
"54759","2019-06-29 23:08:34","1","426","<python><clustering><text-mining><dbscan>","1",""
"54763","2019-06-30 01:55:32","1","77","<machine-learning><machine-learning-model><feature-construction>","2","1"
"54764","2019-06-30 02:44:25","0","135","<nlp><training><pytorch><transformer>","1",""
"54768","2019-06-30 06:51:33","2","839","<machine-learning>","2",""
"54769","2019-06-30 07:12:28","1","44","<nlp><similarity>","1",""
"54771","2019-06-30 08:13:12","0","18","<machine-learning><deep-learning><image-recognition>","1",""
"54777","2019-06-30 10:41:48","1","72","<gan>","0",""
"54778","2019-06-30 10:52:03","1","235","<machine-learning><python><classification><hyperparameter><k-nn>","1",""
"54783","2019-06-30 12:56:08","0","56","<k-means><outlier>","3",""
"54789","2019-06-30 14:36:58","2","56","<machine-learning><predictive-modeling><algorithms>","1",""
"54790","2019-06-30 15:25:43","0","166","<statistics><algorithms>","1",""
"54793","2019-06-30 16:24:24","1","359","<python>","1",""
"54794","2019-06-30 18:03:52","1","163","<vc-theory>","1",""
"54796","2019-06-30 18:54:34","1","2849","<machine-learning><python><scikit-learn><vector-space-models>","0","1"
"54798","2019-06-30 20:00:54","1","50","<orange>","0",""
"54799","2019-06-30 22:33:24","0","45","<image-classification>","1","1"
"54801","2019-06-30 23:32:33","0","176","<python>","0","1"
"54804","2019-07-01 01:24:43","0","24","<r><probability>","1",""
"54805","2019-07-01 02:23:55","0","39","<python><crawling>","1",""
"54806","2019-07-01 03:30:30","3","1235","<nlp><word2vec><word-embeddings>","3",""
"54808","2019-07-01 04:15:25","5","10207","<time-series><pandas><numpy><outlier><seaborn>","3","2"
"54811","2019-07-01 05:35:30","1","59","<recommender-system><movielens>","0",""
"54812","2019-07-01 06:05:45","0","188","<deep-learning><cnn><image-recognition><image-preprocessing><image-size>","2",""
"54813","2019-07-01 06:14:43","1","141","<regularization>","1",""
"54815","2019-07-01 06:32:26","1","170","<numpy><image-preprocessing><reshape>","1",""
"54818","2019-07-01 06:41:55","0","5698","<numpy><jupyter><csv><ipython>","1",""
"54821","2019-07-01 07:33:02","0","141","<machine-learning><neural-network><deep-learning><cnn>","1",""
"54826","2019-07-01 08:06:20","1","1490","<python><time-series><statistics><prediction><forecast>","0","2"
"54830","2019-07-01 09:30:26","1","26","<machine-learning><deep-learning><classification><statistics><sentiment-analysis>","0","1"
